Date,DateLabel,IsTotal,SettlementType,StartingBalance,Collected,Collections,Refunds,Chargeback,Returns,Deduction,Reimbursement,LessPaymentsAtClub,Deposit,CalculatedEnding,EndingBalance,Difference,Status
2025-11-01,2025-11-01,False,MainTotal,-373.1419,2338.99,38546.27,0.0,0.0,0.0,-1610.4177,0.0,0.0,0.0,38901.7004,38901.7004,0.0,Match
2025-11-02,2025-11-02,False,MainTotal,38901.7004,0.0,145.0,0.0,0.0,0.0,-4.0055,0.0,0.0,0.0,39042.6949,39042.6949,0.0,Match
2025-11-03,2025-11-03,False,MainTotal,39042.6949,0.0,1088.2,0.0,-534.0,0.0,-132.867,0.0,-435.2,0.0,39028.8279,39028.8279,0.0,Match
2025-11-04,2025-11-04,False,MainTotal,39028.8279,-130.0,286.5,0.0,0.0,0.0,-29.5814,0.0,-139.5,-39028.83,-12.5835,-12.5835,-0.0,Match
2025-11-05,2025-11-05,False,MainTotal,-12.5835,255.0,203538.15,-552.0,0.0,0.0,-6732.7063,0.0,-323.2,0.0,196172.6602,196172.6602,0.0,Match
2025-11-06,2025-11-06,False,MainTotal,196172.6602,0.0,1156.68,-624.0,0.0,-678.0,-197.0743,62.5,-257.6,-196172.66,-537.4941,-599.9941,62.5,Mismatch
2025-11-07,2025-11-07,False,MainTotal,-599.9941,297.0,975.4,0.0,0.0,-180.93,-120.6973,0.0,-618.4,0.0,-247.6214,-271.1214,23.5,Mismatch
2025-11-08,2025-11-08,False,MainTotal,-271.1214,0.0,507.2,0.0,0.0,0.0,-79.9466,0.0,-316.2,0.0,-160.068,-136.568,-23.5,Mismatch
2025-11-09,2025-11-09,False,MainTotal,-136.568,0.0,69.0,0.0,0.0,0.0,-24.2383,0.0,-69.0,0.0,-160.8063,-160.8063,-0.0,Match
2025-11-10,2025-11-10,False,MainTotal,-160.8063,0.0,3370.2,0.0,0.0,0.0,-140.3793,0.0,-68.0,0.0,3001.0144,3001.0144,-0.0,Match
2025-11-11,2025-11-11,False,MainTotal,3001.0144,0.0,60.0,-207.0,0.0,0.0,-2.206,0.0,0.0,0.0,2851.8084,2851.8084,0.0,Match
2025-11-12,2025-11-12,False,MainTotal,2851.8084,0.0,527.0,0.0,0.0,0.0,-82.1796,0.0,-274.0,-3001.01,21.6188,21.6188,-0.0,Match
2025-11-13,2025-11-13,False,MainTotal,21.6188,737.0,1019.2,-283.5,0.0,0.0,-172.0257,70.5,-309.2,-21.62,1061.9731,1061.9731,0.0,Match
2025-11-14,2025-11-14,False,MainTotal,1061.9731,0.0,2671.13,-276.0,0.0,0.0,-96.4079,0.0,-204.0,-1061.97,2094.7252,2094.7252,-0.0,Match
2025-11-15,2025-11-15,False,MainTotal,2094.7252,0.0,144.0,0.0,0.0,0.0,-4.9444,0.0,0.0,0.0,2233.7808,2233.7808,0.0,Match
2025-11-16,2025-11-16,False,MainTotal,2233.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2233.7808,2233.7808,0.0,Match
2025-11-17,2025-11-17,False,MainTotal,2233.7808,0.0,68.0,-23.5,0.0,0.0,-2.4668,23.5,0.0,-2094.73,204.584,204.584,-0.0,Match
2025-11-18,2025-11-18,False,MainTotal,204.584,0.0,326.0,0.0,0.0,-415.0,-26.5654,62.5,-140.0,-204.58,-193.0614,-255.5614,62.5,Mismatch
2025-11-19,2025-11-19,False,MainTotal,-255.5614,0.0,198.0,0.0,0.0,0.0,-13.5254,0.0,-89.0,0.0,-160.0868,-160.0868,0.0,Match
2025-11-20,2025-11-20,False,MainTotal,-160.0868,0.0,35.0,0.0,0.0,0.0,-1.1565,0.0,0.0,0.0,-126.2433,-126.2433,0.0,Match
2025-11-21,2025-11-21,False,MainTotal,-126.2433,0.0,1299.0,0.0,0.0,0.0,-34.3456,0.0,0.0,0.0,1138.4111,1138.4111,-0.0,Match
2025-11-22,2025-11-22,False,MainTotal,1138.4111,0.0,69.0,0.0,0.0,0.0,-2.4994,0.0,0.0,0.0,1204.9117,1204.9117,0.0,Match
2025-11-23,2025-11-23,False,MainTotal,1204.9117,0.0,0.0,-23.5,0.0,0.0,0.0,23.5,0.0,0.0,1204.9117,1204.9117,0.0,Match
2025-11-24,2025-11-24,False,MainTotal,1204.9117,0.0,197.0,-33.0,425.0,-415.0,-285.4312,95.5,0.0,-1138.41,50.5705,-77.9295,128.5,Mismatch
2025-11-25,2025-11-25,False,MainTotal,-77.9295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.9295,-77.9295,0.0,Match
2025-11-26,2025-11-26,False,MainTotal,-77.9295,0.0,89.6,0.0,0.0,0.0,-28.9587,0.0,0.0,0.0,-17.2882,-17.2882,-0.0,Match
2025-11-27,2025-11-27,False,MainTotal,-17.2882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.2882,-17.2882,0.0,Match
2025-11-28,2025-11-28,False,MainTotal,-17.2882,170.0,243.4,0.0,0.0,0.0,-10.1349,0.0,0.0,0.0,385.9769,385.9769,0.0,Match
2025-11-29,2025-11-29,False,MainTotal,385.9769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.9769,385.9769,0.0,Match
2025-11-30,2025-11-30,False,MainTotal,385.9769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.9769,385.9769,0.0,Match
